"rank","gene","knockout_impact_score","module","description","gene_biotype","chromosome_name","start_position","end_position","go_bp_ids","go_bp_terms","n_go_bp","go_mf_ids","go_mf_terms","n_go_mf","was_uncharacterised","now_annotated"
35,"GPR183",1.55316549851048,"uncharacterised","G protein-coupled receptor 183","protein_coding","13",99294273,99307474,"GO:0007186; GO:0007165; GO:0002376; GO:0002250; GO:0006959; GO:0030316; GO:0030595; GO:0006955; GO:0010818; GO:0061470; GO:0002312; GO:0030890; GO:0060326; GO:2000458","G protein-coupled receptor signaling pathway; signal transduction; immune system process; adaptive immune response; humoral immune response; osteoclast differentiation; leukocyte chemotaxis; immune response; T cell chemotaxis; T follicular helper cell differentiation; B cell activation involved in immune response; positive regulation of B cell proliferation; cell chemotaxis; regulation of astrocyte chemotaxis",14,"GO:0004930; GO:0008142","G protein-coupled receptor activity; oxysterol binding",2,TRUE,TRUE
36,"GVINP1",1.51920241748573,"uncharacterised","GTPase, very large interferon inducible pseudogene 1","transcribed_unitary_pseudogene","11",6714610,6721880,NA,NA,NA,NA,NA,NA,TRUE,FALSE
37,"ARFGAP3",1.49963186895259,"uncharacterised","ARF GTPase activating protein 3","protein_coding","22",42796502,42858106,"GO:0015031; GO:0016192; GO:0006886; GO:0009306; GO:0048205","protein transport; vesicle-mediated transport; intracellular protein transport; protein secretion; COPI coating of Golgi vesicle",5,"GO:0005096; GO:0046872; GO:0005515; GO:0008270","GTPase activator activity; metal ion binding; protein binding; zinc ion binding",4,TRUE,TRUE
38,"HMBOX1",1.49294313036775,"epigenetic","homeobox containing 1","protein_coding","8",28890292,29064764,"GO:0045893; GO:0007004; GO:0045892; GO:0000122; GO:1905324","positive regulation of DNA-templated transcription; telomere maintenance via telomerase; negative regulation of DNA-templated transcription; negative regulation of transcription by RNA polymerase II; telomere-telomerase complex assembly",5,"GO:0003677; GO:0003691; GO:0005515; GO:0044877; GO:0042802; GO:0042162; GO:1990837; GO:0043565","DNA binding; double-stranded telomeric DNA binding; protein binding; protein-containing complex binding; identical protein binding; telomeric DNA binding; sequence-specific double-stranded DNA binding; sequence-specific DNA binding",8,FALSE,FALSE
39,"IKBKB",1.48654587445872,"signalling","inhibitor of nuclear factor kappa B kinase subunit beta","protein_coding","8",42271302,42332460,"GO:0006468; GO:0010604; GO:0045087; GO:0043123; GO:0045893; GO:0045944; GO:0000209; GO:0009615; GO:0006954; GO:0051604; GO:0043124; GO:0006357; GO:0072659; GO:1903140; GO:1903347; GO:0033209; GO:0002221; GO:0007249; GO:0071356; GO:0051092; GO:0023019; GO:1900016; GO:0038095; GO:0002223; GO:0002755; GO:0010803; GO:0018105; GO:0034121; GO:0034138; GO:0035666; GO:0050852; GO:0051403","protein phosphorylation; positive regulation of macromolecule metabolic process; innate immune response; positive regulation of canonical NF-kappaB signal transduction; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; protein polyubiquitination; response to virus; inflammatory response; protein maturation; negative regulation of canonical NF-kappaB signal transduction; regulation of transcription by RNA polymerase II; protein localization to plasma membrane; regulation of establishment of endothelial barrier; negative regulation of bicellular tight junction assembly; tumor necrosis factor-mediated signaling pathway; pattern recognition receptor signaling pathway; canonical NF-kappaB signal transduction; cellular response to tumor necrosis factor; positive regulation of NF-kappaB transcription factor activity; signal transduction involved in regulation of gene expression; negative regulation of cytokine production involved in inflammatory response; Fc-epsilon receptor signaling pathway; stimulatory C-type lectin receptor signaling pathway; MyD88-dependent toll-like receptor signaling pathway; regulation of tumor necrosis factor-mediated signaling pathway; peptidyl-serine phosphorylation; regulation of toll-like receptor signaling pathway; toll-like receptor 3 signaling pathway; TRIF-dependent toll-like receptor signaling pathway; T cell receptor signaling pathway; stress-activated MAPK cascade",32,"GO:0005524; GO:0005515; GO:0004672; GO:0008384; GO:0016740; GO:0000166; GO:0004674; GO:0016301; GO:0042803; GO:0042802; GO:0046982; GO:0019901; GO:0097110; GO:1990459","ATP binding; protein binding; protein kinase activity; IkappaB kinase activity; transferase activity; nucleotide binding; protein serine/threonine kinase activity; kinase activity; protein homodimerization activity; identical protein binding; protein heterodimerization activity; protein kinase binding; scaffold protein binding; transferrin receptor binding",14,FALSE,FALSE
40,"EMR3",1.44944926084217,"immune",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
41,"TRANK1",1.41286737733938,"uncharacterised","tetratricopeptide repeat and ankyrin repeat containing 1","protein_coding","3",36826817,36945057,NA,NA,NA,"GO:0005515","protein binding",1,TRUE,TRUE
42,"PIM3",1.40495381653758,"signalling","Pim-3 proto-oncogene, serine/threonine kinase","protein_coding","22",49960463,49964075,"GO:0006468; GO:0043066; GO:0006915; GO:0007346; GO:0061179; GO:1904322","protein phosphorylation; negative regulation of apoptotic process; apoptotic process; regulation of mitotic cell cycle; negative regulation of insulin secretion involved in cellular response to glucose stimulus; cellular response to forskolin",6,"GO:0005524; GO:0004674; GO:0004672; GO:0016740; GO:0000166; GO:0016301; GO:0005515","ATP binding; protein serine/threonine kinase activity; protein kinase activity; transferase activity; nucleotide binding; kinase activity; protein binding",7,FALSE,FALSE
43,"CASS4",1.37574314924952,"uncharacterised","Cas scaffold protein family member 4","protein_coding","20",56412049,56460387,"GO:0030335; GO:0007155; GO:1900026; GO:0016477; GO:0061098; GO:0051897; GO:0007169","positive regulation of cell migration; cell adhesion; positive regulation of substrate adhesion-dependent cell spreading; cell migration; positive regulation of protein tyrosine kinase activity; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cell surface receptor protein tyrosine kinase signaling pathway",7,"GO:0005515; GO:1990782","protein binding; protein tyrosine kinase binding",2,TRUE,TRUE
44,"KLRD1",1.336678445381,"immune","killer cell lectin like receptor D1","protein_coding","12",10226058,10329608,"GO:0002376; GO:0045087; GO:0002250; GO:0045953; GO:0045954; GO:0002223; GO:0007166; GO:0002228; GO:0001915","immune system process; innate immune response; adaptive immune response; negative regulation of natural killer cell mediated cytotoxicity; positive regulation of natural killer cell mediated cytotoxicity; stimulatory C-type lectin receptor signaling pathway; cell surface receptor signaling pathway; natural killer cell mediated immunity; negative regulation of T cell mediated cytotoxicity",9,"GO:0030246; GO:0005515; GO:0004888; GO:0023024; GO:1990405; GO:0023030","carbohydrate binding; protein binding; transmembrane signaling receptor activity; MHC class I protein complex binding; protein antigen binding; MHC class Ib protein binding, via antigen binding groove",6,FALSE,FALSE
45,"CYP1B1-AS1",1.30817301964624,"uncharacterised","CYP1B1 antisense RNA 1","lncRNA","2",38073447,38231651,NA,NA,NA,"GO:0030621","U4 snRNA binding",1,TRUE,TRUE
46,"DBIL5P2",1.30754165055222,"uncharacterised","diazepam binding inhibitor-like 5 pseudogene 2","transcribed_processed_pseudogene","2",63119011,63119263,NA,NA,NA,NA,NA,NA,TRUE,FALSE
47,"PRDM8",1.29929447891099,"epigenetic","PR/SET domain 8","protein_coding","4",80183879,80204329,"GO:0007399; GO:0032259; GO:0006338; GO:0006355; GO:0014003; GO:0021540; GO:0021952; GO:0021957; GO:0022008; GO:0045892","nervous system development; methylation; chromatin remodeling; regulation of DNA-templated transcription; oligodendrocyte development; corpus callosum morphogenesis; central nervous system projection neuron axonogenesis; corticospinal tract morphogenesis; neurogenesis; negative regulation of DNA-templated transcription",10,"GO:0005515; GO:0008168; GO:0016740; GO:0046872; GO:0003677; GO:0008270; GO:0003682; GO:0003714; GO:0042054; GO:0046974","protein binding; methyltransferase activity; transferase activity; metal ion binding; DNA binding; zinc ion binding; chromatin binding; transcription corepressor activity; histone methyltransferase activity; histone H3K9 methyltransferase activity",10,FALSE,FALSE
48,"LAMA5",1.29380011166593,"uncharacterised","laminin subunit alpha 5","protein_coding","20",62307955,62367312,"GO:0007155; GO:0030155; GO:0030334; GO:0045995; GO:0016477; GO:0007229; GO:0048731; GO:0048705; GO:0009887; GO:0001658; GO:0001738; GO:0001755; GO:0001822; GO:0001942; GO:0007517; GO:0016331; GO:0030324; GO:0042475; GO:0048754; GO:0050678; GO:0060271; GO:0060445; GO:0072659; GO:0034446; GO:0099173","cell adhesion; regulation of cell adhesion; regulation of cell migration; regulation of embryonic development; cell migration; integrin-mediated signaling pathway; system development; skeletal system morphogenesis; animal organ morphogenesis; branching involved in ureteric bud morphogenesis; morphogenesis of a polarized epithelium; neural crest cell migration; kidney development; hair follicle development; muscle organ development; morphogenesis of embryonic epithelium; lung development; odontogenesis of dentin-containing tooth; branching morphogenesis of an epithelial tube; regulation of epithelial cell proliferation; cilium assembly; branching involved in salivary gland morphogenesis; protein localization to plasma membrane; substrate adhesion-dependent cell spreading; postsynapse organization",25,"GO:0005515; GO:0005102; GO:0005178; GO:0048018; GO:0098631; GO:0005201","protein binding; signaling receptor binding; integrin binding; receptor ligand activity; cell adhesion mediator activity; extracellular matrix structural constituent",6,TRUE,TRUE
49,"GM2A",1.27287311208057,"uncharacterised","ganglioside GM2 activator","protein_coding","5",151212150,151270440,"GO:0006689; GO:0006629; GO:0006665; GO:0046479; GO:0006869; GO:0007611; GO:0009313; GO:0019915; GO:0050877; GO:0050885; GO:0001573","ganglioside catabolic process; lipid metabolic process; sphingolipid metabolic process; glycosphingolipid catabolic process; lipid transport; learning or memory; oligosaccharide catabolic process; lipid storage; nervous system process; neuromuscular process controlling balance; ganglioside metabolic process",11,"GO:0008047; GO:0016787; GO:0005515; GO:0005319; GO:0004563; GO:0016004; GO:0030290","enzyme activator activity; hydrolase activity; protein binding; lipid transporter activity; beta-N-acetylhexosaminidase activity; phospholipase activator activity; sphingolipid activator protein activity",7,TRUE,TRUE
50,"PRKDC",1.25429744694249,"uncharacterised","protein kinase, DNA-activated, catalytic subunit","protein_coding","8",47773108,47960182,"GO:0006281; GO:0006303; GO:0048511; GO:0006974; GO:0002376; GO:0045087; GO:0006310; GO:0080135; GO:0002218; GO:0042752; GO:0000723; GO:0000724; GO:0031297; GO:0140896; GO:0140861; GO:0045727; GO:0160049; GO:0006302; GO:2001034; GO:0045944; GO:0001933; GO:0036211; GO:0006468; GO:0018107; GO:0018105; GO:0071168; GO:0043066; GO:0008630; GO:0045621; GO:0048660; GO:0034462; GO:0033152; GO:0031571; GO:1902036; GO:0000460; GO:0001756; GO:0002360; GO:0007420; GO:0007507; GO:0010212; GO:0030098; GO:0031648; GO:0033077; GO:0033151; GO:0033153; GO:0035234; GO:0043065; GO:0050678; GO:0097681; GO:1905221","DNA repair; double-strand break repair via nonhomologous end joining; rhythmic process; DNA damage response; immune system process; innate immune response; DNA recombination; regulation of cellular response to stress; activation of innate immune response; regulation of circadian rhythm; telomere maintenance; double-strand break repair via homologous recombination; replication fork processing; cGAS/STING signaling pathway; DNA repair-dependent chromatin remodeling; positive regulation of translation; negative regulation of cGAS/STING signaling pathway; double-strand break repair; positive regulation of double-strand break repair via nonhomologous end joining; positive regulation of transcription by RNA polymerase II; negative regulation of protein phosphorylation; protein modification process; protein phosphorylation; peptidyl-threonine phosphorylation; peptidyl-serine phosphorylation; protein localization to chromatin; negative regulation of apoptotic process; intrinsic apoptotic signaling pathway in response to DNA damage; positive regulation of lymphocyte differentiation; regulation of smooth muscle cell proliferation; small-subunit processome assembly; immunoglobulin V(D)J recombination; mitotic G1 DNA damage checkpoint signaling; regulation of hematopoietic stem cell differentiation; maturation of 5.8S rRNA; somitogenesis; T cell lineage commitment; brain development; heart development; response to ionizing radiation; lymphocyte differentiation; protein destabilization; T cell differentiation in thymus; V(D)J recombination; T cell receptor V(D)J recombination; ectopic germ cell programmed cell death; positive regulation of apoptotic process; regulation of epithelial cell proliferation; double-strand break repair via alternative nonhomologous end joining; positive regulation of platelet formation",50,"GO:0005515; GO:0016301; GO:0004677; GO:0003723; GO:0016740; GO:0000166; GO:0005524; GO:0004674; GO:0003677; GO:0019904; GO:0061629; GO:0004672; GO:0034511; GO:0003690; GO:0019899; GO:0035979","protein binding; kinase activity; DNA-dependent protein kinase activity; RNA binding; transferase activity; nucleotide binding; ATP binding; protein serine/threonine kinase activity; DNA binding; protein domain specific binding; RNA polymerase II-specific DNA-binding transcription factor binding; protein kinase activity; U3 snoRNA binding; double-stranded DNA binding; enzyme binding; histone H2AXS139 kinase activity",16,TRUE,TRUE
51,"ADPRH",1.25238375973677,"metabolism","ADP-ribosylarginine hydrolase","protein_coding","3",119579268,119590165,"GO:0051725; GO:0036211","protein de-ADP-ribosylation; protein modification process",2,"GO:0003875; GO:0016787; GO:0046872; GO:0005515; GO:0030955; GO:0016799","ADP-ribosylarginine hydrolase activity; hydrolase activity; metal ion binding; protein binding; potassium ion binding; hydrolase activity, hydrolyzing N-glycosyl compounds",6,FALSE,FALSE
52,"ZNF200",1.23379495660006,"uncharacterised","zinc finger protein 200","protein_coding","16",3222324,3236221,"GO:0034504","protein localization to nucleus",1,"GO:0046872; GO:0005515; GO:0008270","metal ion binding; protein binding; zinc ion binding",3,TRUE,TRUE
53,"VNN3",1.22607718016795,"metabolism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
54,"HLX",1.2167889374751,"uncharacterised","H2.0 like homeobox","protein_coding","1",220879431,220885059,"GO:0006355; GO:0030154; GO:0006357; GO:0007165; GO:0008283; GO:0035265; GO:0045063; GO:0045064; GO:0050673; GO:0001889; GO:0007519; GO:0046622; GO:0048484; GO:0048513; GO:0048557; GO:0050679","regulation of DNA-templated transcription; cell differentiation; regulation of transcription by RNA polymerase II; signal transduction; cell population proliferation; organ growth; T-helper 1 cell differentiation; T-helper 2 cell differentiation; epithelial cell proliferation; liver development; skeletal muscle tissue development; positive regulation of organ growth; enteric nervous system development; animal organ development; embryonic digestive tract morphogenesis; positive regulation of epithelial cell proliferation",16,"GO:0003677; GO:0000981; GO:0005515; GO:0043565","DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; protein binding; sequence-specific DNA binding",4,TRUE,TRUE
55,"OTX1",1.20570923554598,"uncharacterised","orthodenticle homeobox 1","protein_coding","2",63050057,63057836,"GO:0006355; GO:0007275; GO:0006357; GO:0045944; GO:0009952; GO:0022037; GO:0030900; GO:0030901; GO:0048852","regulation of DNA-templated transcription; multicellular organism development; regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; anterior/posterior pattern specification; metencephalon development; forebrain development; midbrain development; diencephalon morphogenesis",9,"GO:0003677; GO:0003700; GO:0000981; GO:0005515; GO:0000978; GO:1990837; GO:0001228","DNA binding; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; protein binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; sequence-specific double-stranded DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific",7,TRUE,TRUE
56,"LOC399900",1.19864157577665,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
57,"PMFBP1",1.18600634228249,"uncharacterised","polyamine modulated factor 1 binding protein 1","protein_coding","16",72112157,72176878,"GO:0007283; GO:0007286; GO:0008104; GO:0010467; GO:0032880; GO:0065003","spermatogenesis; spermatid development; protein localization; gene expression; regulation of protein localization; protein-containing complex assembly",6,NA,NA,NA,TRUE,TRUE
58,"KIAA0319L",1.18229419572155,"uncharacterised","KIAA0319 like","protein_coding","1",35393883,35557950,"GO:0001764; GO:0001675; GO:0007283; GO:0010996; GO:0019065; GO:0030317","neuron migration; acrosome assembly; spermatogenesis; response to auditory stimulus; receptor-mediated endocytosis of virus by host cell; flagellated sperm motility",6,"GO:0005515","protein binding",1,TRUE,TRUE
59,"CCDC147",1.15884465290056,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
60,"CD86",1.1354918830063,"immune","CD86 molecule","protein_coding","3",122055362,122121139,"GO:0007165; GO:0002376; GO:0045893; GO:0007166; GO:0002250; GO:0006955; GO:0046718; GO:0008284; GO:0042110; GO:0031295; GO:0042113; GO:0046649; GO:1901224; GO:0071222; GO:0042130; GO:0002639; GO:0042102","signal transduction; immune system process; positive regulation of DNA-templated transcription; cell surface receptor signaling pathway; adaptive immune response; immune response; symbiont entry into host cell; positive regulation of cell population proliferation; T cell activation; T cell costimulation; B cell activation; lymphocyte activation; positive regulation of non-canonical NF-kappaB signal transduction; cellular response to lipopolysaccharide; negative regulation of T cell proliferation; positive regulation of immunoglobulin production; positive regulation of T cell proliferation",17,"GO:0005515; GO:0048018; GO:0001618; GO:0015026; GO:0038023","protein binding; receptor ligand activity; virus receptor activity; coreceptor activity; signaling receptor activity",5,FALSE,FALSE
61,"MYBPH",1.12225284723545,"uncharacterised","myosin binding protein H","protein_coding","1",203167811,203175880,"GO:0007155; GO:0045214; GO:0006942","cell adhesion; sarcomere organization; regulation of striated muscle contraction",3,"GO:0005515; GO:0008307","protein binding; structural constituent of muscle",2,TRUE,TRUE
62,"RAPGEF2",1.11894318726841,"signalling","Rap guanine nucleotide exchange factor 2","protein_coding","4",159103013,159360174,"GO:0007165; GO:0007264; GO:0007399; GO:0030154; GO:0072659; GO:0010975; GO:0030033; GO:0008285; GO:0035556; GO:0007186; GO:0048167; GO:0031175; GO:0000165; GO:0061028; GO:0007218; GO:0071320; GO:0001764; GO:0038180; GO:0007188; GO:2001224; GO:0043547; GO:0001568; GO:2000670; GO:0010976; GO:0071321; GO:0007265; GO:0045860; GO:0032092; GO:0071880; GO:1990090; GO:1903698; GO:2001214; GO:0090557; GO:1901888; GO:0050774; GO:0031547; GO:2000481; GO:0019933; GO:0048022; GO:0021591; GO:0021884","signal transduction; small GTPase-mediated signal transduction; nervous system development; cell differentiation; protein localization to plasma membrane; regulation of neuron projection development; microvillus assembly; negative regulation of cell population proliferation; intracellular signal transduction; G protein-coupled receptor signaling pathway; regulation of synaptic plasticity; neuron projection development; MAPK cascade; establishment of endothelial barrier; neuropeptide signaling pathway; cellular response to cAMP; neuron migration; nerve growth factor signaling pathway; adenylate cyclase-modulating G protein-coupled receptor signaling pathway; positive regulation of neuron migration; positive regulation of GTPase activity; blood vessel development; positive regulation of dendritic cell apoptotic process; positive regulation of neuron projection development; cellular response to cGMP; Ras protein signal transduction; positive regulation of protein kinase activity; positive regulation of protein binding; adenylate cyclase-activating adrenergic receptor signaling pathway; cellular response to nerve growth factor stimulus; positive regulation of microvillus assembly; positive regulation of vasculogenesis; establishment of endothelial intestinal barrier; regulation of cell junction assembly; negative regulation of dendrite morphogenesis; brain-derived neurotrophic factor receptor signaling pathway; positive regulation of cAMP-dependent protein kinase activity; cAMP-mediated signaling; negative regulation of melanin biosynthetic process; ventricular system development; forebrain neuron development",41,"GO:0005515; GO:0005085; GO:0005096; GO:0005509; GO:0030552; GO:0019992; GO:0050699; GO:0030165; GO:0031697","protein binding; guanyl-nucleotide exchange factor activity; GTPase activator activity; calcium ion binding; cAMP binding; diacylglycerol binding; WW domain binding; PDZ domain binding; beta-1 adrenergic receptor binding",9,FALSE,FALSE
63,"JOSD1",1.11568301933639,"uncharacterised","Josephin domain containing 1","protein_coding","22",38685543,38701556,"GO:0016579; GO:0006508; GO:0006897; GO:0044091; GO:0048870; GO:0061024","protein deubiquitination; proteolysis; endocytosis; membrane biogenesis; cell motility; membrane organization",6,"GO:0004843; GO:0016787; GO:0005515; GO:0008233; GO:0101005","cysteine-type deubiquitinase activity; hydrolase activity; protein binding; peptidase activity; deubiquitinase activity",5,TRUE,TRUE
64,"CD46",1.10236330273894,"uncharacterised","CD46 molecule","protein_coding","1",207752037,207795513,"GO:0002376; GO:0045087; GO:0006958; GO:0050776; GO:0007338; GO:0002250; GO:0035581; GO:0010628; GO:0010629; GO:0046718; GO:0042102; GO:0008593; GO:0002456; GO:0071636; GO:0043382; GO:0045959","immune system process; innate immune response; complement activation, classical pathway; regulation of immune response; single fertilization; adaptive immune response; sequestering of extracellular ligand from receptor; positive regulation of gene expression; negative regulation of gene expression; symbiont entry into host cell; positive regulation of T cell proliferation; regulation of Notch signaling pathway; T cell mediated immunity; positive regulation of transforming growth factor beta production; positive regulation of memory T cell differentiation; negative regulation of complement activation, classical pathway",16,"GO:0005515; GO:0045296; GO:0001618; GO:0038023","protein binding; cadherin binding; virus receptor activity; signaling receptor activity",4,TRUE,TRUE
65,"GK5",1.06760239726354,"uncharacterised","glycerol kinase 5","protein_coding","3",142157527,142225592,"GO:0005975; GO:0006071; GO:0019563; GO:0006641; GO:0046167","carbohydrate metabolic process; glycerol metabolic process; glycerol catabolic process; triglyceride metabolic process; glycerol-3-phosphate biosynthetic process",5,"GO:0016301; GO:0016773; GO:0016740; GO:0000166; GO:0005524; GO:0004370","kinase activity; phosphotransferase activity, alcohol group as acceptor; transferase activity; nucleotide binding; ATP binding; glycerol kinase activity",6,TRUE,TRUE
66,"TMCC1",1.0360604771319,"uncharacterised","transmembrane and coiled-coil domain family 1","protein_coding","3",129647792,129893778,"GO:0007029; GO:0016197; GO:0090148; GO:0097750","endoplasmic reticulum organization; endosomal transport; membrane fission; endosome membrane tubulation",4,"GO:0042802; GO:0005515","identical protein binding; protein binding",2,TRUE,TRUE
67,"LOC100506047",1.00585059697663,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
68,"RHOU",1.0051950736391,"uncharacterised","ras homolog family member U","protein_coding","HG2002_PATCH",312483,323668,"GO:0007264; GO:0008360; GO:0007010; GO:0007165; GO:0051056; GO:0007015; GO:0006897; GO:1903955; GO:0030010; GO:0000082; GO:0030036","small GTPase-mediated signal transduction; regulation of cell shape; cytoskeleton organization; signal transduction; regulation of small GTPase mediated signal transduction; actin filament organization; endocytosis; positive regulation of protein targeting to mitochondrion; establishment of cell polarity; G1/S transition of mitotic cell cycle; actin cytoskeleton organization",11,"GO:0003924; GO:0005525; GO:0046872; GO:0000166; GO:0005515; GO:0030674; GO:0019901; GO:0005085","GTPase activity; GTP binding; metal ion binding; nucleotide binding; protein binding; protein-macromolecule adaptor activity; protein kinase binding; guanyl-nucleotide exchange factor activity",8,TRUE,TRUE
69,"PLCL1",0.999306530842518,"uncharacterised","phospholipase C like 1 (inactive)","protein_coding","2",197804593,198572581,"GO:0007165; GO:0035556; GO:0006629; GO:0007214; GO:0048015; GO:0046488; GO:0051209; GO:0016042","signal transduction; intracellular signal transduction; lipid metabolic process; gamma-aminobutyric acid signaling pathway; phosphatidylinositol-mediated signaling; phosphatidylinositol metabolic process; release of sequestered calcium ion into cytosol; lipid catabolic process",8,"GO:0004435; GO:0008081; GO:0004629; GO:0016787","phosphatidylinositol phospholipase C activity; phosphoric diester hydrolase activity; phospholipase C activity; hydrolase activity",4,TRUE,TRUE
70,"SNORA21",0.998783480927497,"uncharacterised","small nucleolar RNA, H/ACA box 21","snoRNA","17",38852863,38852994,"GO:0006396","RNA processing",1,NA,NA,NA,TRUE,TRUE
71,"TOX4",0.983140991933569,"epigenetic","TOX high mobility group box family member 4","protein_coding","14",21476597,21499175,"GO:0006357; GO:0001111; GO:0032968; GO:0034243","regulation of transcription by RNA polymerase II; RNA polymerase II promoter clearance; positive regulation of transcription elongation by RNA polymerase II; regulation of transcription elongation by RNA polymerase II",4,"GO:0003677; GO:0005515; GO:0031490","DNA binding; protein binding; chromatin DNA binding",3,FALSE,FALSE
72,"WSB1",0.956984303382786,"uncharacterised","WD repeat and SOCS box containing 1","protein_coding","17",27294067,27315926,"GO:0035556; GO:0016567; GO:0000209; GO:0044314","intracellular signal transduction; protein ubiquitination; protein polyubiquitination; protein K27-linked ubiquitination",4,"GO:0005515; GO:0061630","protein binding; ubiquitin protein ligase activity",2,TRUE,TRUE
73,"SLC45A4",0.950965272171426,"metabolism","solute carrier family 45 member 4","protein_coding","8",141207166,141308318,"GO:0055085; GO:0034219; GO:1902600; GO:0015770","transmembrane transport; carbohydrate transmembrane transport; proton transmembrane transport; sucrose transport",4,"GO:0022857; GO:0015293; GO:0005351","transmembrane transporter activity; symporter activity; carbohydrate:proton symporter activity",3,FALSE,FALSE
74,"ZNF571",0.918849185420167,"uncharacterised","zinc finger protein 571","protein_coding","19",37554782,37595134,"GO:0006355; GO:0006357","regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II",2,"GO:0046872; GO:0003677; GO:0008270; GO:0000978; GO:0000981","metal ion binding; DNA binding; zinc ion binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific",5,TRUE,TRUE
75,"KCNK7",0.91848521718083,"uncharacterised","potassium two pore domain channel subfamily K member 7","protein_coding","11",65592836,65595996,"GO:0071805; GO:0006811; GO:0034220; GO:0006813","potassium ion transmembrane transport; monoatomic ion transport; monoatomic ion transmembrane transport; potassium ion transport",4,"GO:0005267; GO:0022841; GO:0015271; GO:0005515","potassium channel activity; potassium ion leak channel activity; outward rectifier potassium channel activity; protein binding",4,TRUE,TRUE
76,"CHRNA10",0.915580438879151,"uncharacterised","cholinergic receptor nicotinic alpha 10 subunit","protein_coding","11",3665587,3671384,"GO:0006811; GO:0034220; GO:0065008; GO:0042127; GO:0006816; GO:0070588; GO:0060078; GO:0060079; GO:0007268; GO:0042391; GO:0007204; GO:0007271; GO:0050910; GO:0007210; GO:0010996; GO:0051899","monoatomic ion transport; monoatomic ion transmembrane transport; regulation of biological quality; regulation of cell population proliferation; calcium ion transport; calcium ion transmembrane transport; regulation of postsynaptic membrane potential; excitatory postsynaptic potential; chemical synaptic transmission; regulation of membrane potential; positive regulation of cytosolic calcium ion concentration; synaptic transmission, cholinergic; detection of mechanical stimulus involved in sensory perception of sound; serotonin receptor signaling pathway; response to auditory stimulus; membrane depolarization",16,"GO:0005216; GO:0022848; GO:0004888; GO:0005230; GO:0005102; GO:0005262; GO:0005231; GO:0022850; GO:1904315","monoatomic ion channel activity; acetylcholine-gated monoatomic cation-selective channel activity; transmembrane signaling receptor activity; extracellular ligand-gated monoatomic ion channel activity; signaling receptor binding; calcium channel activity; excitatory extracellular ligand-gated monoatomic ion channel activity; serotonin-gated monoatomic cation channel activity; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential",9,TRUE,TRUE
77,"SLC1A3",0.907739825940424,"metabolism","solute carrier family 1 member 3","protein_coding","5",36596588,36688335,"GO:0006865; GO:0006836; GO:0098657; GO:0071805; GO:1902476; GO:0015813; GO:0006811; GO:0015804; GO:0007268; GO:0150104; GO:0070633; GO:0001504; GO:0051938; GO:0070779; GO:0098712; GO:0055085; GO:1905039; GO:1902475; GO:0006883; GO:0007605; GO:0009410; GO:0009416; GO:0009449; GO:0009611; GO:0021545; GO:0031223; GO:0046677; GO:0048667; GO:0050806; GO:0050885; GO:0071314","amino acid transport; neurotransmitter transport; import into cell; potassium ion transmembrane transport; chloride transmembrane transport; L-glutamate transmembrane transport; monoatomic ion transport; neutral amino acid transport; chemical synaptic transmission; transport across blood-brain barrier; transepithelial transport; neurotransmitter uptake; L-glutamate import; D-aspartate import across plasma membrane; L-glutamate import across plasma membrane; transmembrane transport; carboxylic acid transmembrane transport; L-alpha-amino acid transmembrane transport; intracellular sodium ion homeostasis; sensory perception of sound; response to xenobiotic stimulus; response to light stimulus; gamma-aminobutyric acid biosynthetic process; response to wounding; cranial nerve development; auditory behavior; response to antibiotic; cell morphogenesis involved in neuron differentiation; positive regulation of synaptic transmission; neuromuscular process controlling balance; cellular response to cocaine",31,"GO:0015293; GO:0046872; GO:0005515; GO:0005313; GO:0015501; GO:0005314; GO:0015175; GO:0015179; GO:0015172; GO:0016597","symporter activity; metal ion binding; protein binding; L-glutamate transmembrane transporter activity; glutamate:sodium symporter activity; high-affinity L-glutamate transmembrane transporter activity; neutral L-amino acid transmembrane transporter activity; L-amino acid transmembrane transporter activity; acidic amino acid transmembrane transporter activity; amino acid binding",10,FALSE,FALSE
